,Logistic Regression Priviledged Rate,Logistic Regression Discriminated Rate,LDA Priviledged Rate,LDA Discriminated Rate,XG Priviledged Rate,XG Discriminated Rate,Decision Tree Priviledged Rate,Decision Tree Discriminated Rate,RF Priviledged Rate,RF Discriminated Rate
81,0.1702127659574468,0.20430107526881722,0.25,0.20430107526881722,0.2222222222222222,0.28735632183908044,0.27906976744186046,0.3333333333333333,0.25,0.3023255813953488
82,0.17307692307692307,0.07777777777777778,0.5641025641025641,0.24358974358974358,0.525,0.24358974358974358,0.4878048780487805,0.3108108108108108,0.5641025641025641,0.1686746987951807
83,0.21666666666666667,0.1566265060240964,0.35185185185185186,0.2,0.37735849056603776,0.2631578947368421,0.37735849056603776,0.21518987341772153,0.32727272727272727,0.14285714285714285
84,0.4,0.15730337078651685,0.4,0.1839080459770115,0.4,0.1839080459770115,0.3404255319148936,0.32051282051282054,0.3695652173913043,0.14444444444444443
85,0.3389830508474576,0.2835820895522388,0.27419354838709675,0.36507936507936506,0.27419354838709675,0.34375,0.29508196721311475,0.43333333333333335,0.3389830508474576,0.2463768115942029
86,0.46153846153846156,0.26865671641791045,0.4339622641509434,0.2878787878787879,0.4339622641509434,0.328125,0.46153846153846156,0.4406779661016949,0.3333333333333333,0.25
87,0.32,0.2077922077922078,0.375,0.30985915492957744,0.3469387755102041,0.25675675675675674,0.5,0.32857142857142857,0.375,0.17721518987341772
88,0.12280701754385964,0.18823529411764706,0.20754716981132076,0.24691358024691357,0.23076923076923078,0.3835616438356164,0.45454545454545453,0.32894736842105265,0.14285714285714285,0.2625
89,0.16129032258064516,0.16901408450704225,0.38461538461538464,0.27692307692307694,0.2857142857142857,0.4067796610169492,0.3584905660377358,0.509090909090909,0.2857142857142857,0.25757575757575757
90,0.25,0.2631578947368421,0.41304347826086957,0.3150684931506849,0.41304347826086957,0.28,0.32653061224489793,0.4117647058823529,0.3829787234042553,0.2972972972972973
91,0.2033898305084746,0.08536585365853659,0.6136363636363636,0.3088235294117647,0.5434782608695652,0.3088235294117647,0.5106382978723404,0.2535211267605634,0.4489795918367347,0.2361111111111111
92,0.2222222222222222,0.18604651162790697,0.2692307692307692,0.2289156626506024,0.29411764705882354,0.25925925925925924,0.40425531914893614,0.2289156626506024,0.29411764705882354,0.21428571428571427
93,0.5,0.2,0.3220338983050847,0.2923076923076923,0.3448275862068966,0.2923076923076923,0.4444444444444444,0.3125,0.4444444444444444,0.23529411764705882
94,0.17307692307692307,0.2857142857142857,0.24489795918367346,0.3026315789473684,0.22,0.33783783783783783,0.4523809523809524,0.3561643835616438,0.24489795918367346,0.25316455696202533
